timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Snowfall Amount,Basel Cloud Cover Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Basel Sunshine Duration,Basel Shortwave Radiation,Basel Direct Shortwave Radiation,Basel Diffuse Shortwave Radiation,Basel Wind Gust,Basel Wind Gust,Basel Wind Gust,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Direction Dominant [80 m]
20080309T0000,3.0805285,12.310529,7.529279,62,87,72.208336,1002.4,1011.1,1006.99164,0,0,57.391666,42.25,46.625,35.916668,223.09785,3754.91,2392.2185,1362.6914,3.2399998,36,8.909999,1.484318,19.011953,6.301483,194.4067,1.0182338,27.792374,8.243506,220.95552
20080310T0000,4.4205284,12.470529,7.8734455,57,88,70.291664,989.9,1005.9,997.6792,0,0,79.125,42.25,64.708336,48.708332,0,2913.8596,1708.0759,1205.7839,3.6,103.32,40.679996,4.1046314,54.777996,21.653479,213.36453,2.5455842,71.63276,28.270226,218.52774
20080311T0000,5.4505286,10.600529,8.016362,53,77,68.958336,991.7,1003.3,999.3875,0.2,0,49.666668,0.75,34.75,36.291668,412.4344,3993.4304,2518.8025,1474.6276,40.68,70.2,54.854996,22.380884,35.16225,29.054861,242.74953,32.385994,43.22399,37.31239,243.02771
20080312T0000,6.2105284,13.110529,10.603863,66,78,72.333336,1001.9,1016.4,1006.45,1.3000001,0,48.041668,0,10.583333,42.166668,456.633,2961.03,1599.0156,1362.0144,48.6,84.96,67.965004,22.7057,44.25511,36.872913,258.9262,31.06239,56.37765,47.082645,259.04892
20080313T0000,4.290529,10.690529,7.595946,56,84,66.75,1017.1,1020.7,1018.9583,0,0,76.25,34.875,61.541668,40.333332,70.21277,4162.53,2605.44,1557.0898,12.959999,52.199997,37.065002,5.0142193,31.616526,20.828936,258.88696,10.514218,37.114933,27.628923,258.91776
20080314T0000,8.720529,15.100529,11.747196,55,80,67.541664,1013,1016.6,1014.4959,0,0,56.791668,38.083332,55.625,48.291668,408.111,4345.8706,2701.6206,1644.2494,6.12,62.279995,38.31,4.829907,34.114628,21.025454,256.62936,6.28713,41.085762,27.86114,257.48148
20080315T0000,6.2405286,19.190529,12.106778,38,89,69.666664,1003,1016,1010.25836,0,0,68.370834,55.75,51.25,17.125,148.20923,4249.7495,2705.2341,1544.5157,4.68,21.96,11.054997,4.39436,15.778518,10.860279,131.81683,1.8,21.313093,14.840257,138.30005
20080316T0000,8.710529,12.820529,10.623446,56,78,66.041664,1003.1,1007.8,1004.9958,1.4000001,0,65.5,11.125,61.666668,45.708332,244.3493,2992.18,1507.3777,1484.8024,2.8799999,65.159996,49.740005,4.510787,36.969738,25.724,239.08305,7.771331,46.66272,33.942795,239.74542
20080317T0000,5.1405287,8.990529,7.3688626,70,89,81.333336,1004.2,1012.6,1008.9167,5,0,77.625,19,68.041664,77.625,133.39699,2353.1602,1015.7765,1337.3834,4.68,51.839996,30.599998,2.6208394,27.41678,17.947313,282.926,5.6233797,36.927643,23.311699,282.7706
20080318T0000,-0.29947135,6.1905284,3.2371957,49,96,75.666664,1011.9,1017.3,1013.7585,0,0,47.958332,0,0,47.958332,399.1968,3567.12,2054.217,1512.903,1.8,26.28,12.45,1.08,20.929596,9.816996,0.5738983,1.08,23.143827,14.2485285,6.8958893
20080319T0000,-0.46947134,5.6405287,2.7521954,59,83,68.125,1014.5,1018.5,1015.94586,0,0,45,1.0416666,33.208332,26.375,229.55211,3273.42,1692.5465,1580.8733,1.8,22.319998,12.240001,0.71999997,18.844202,9.620673,341.83093,0,20.991426,11.907925,348.27188
20080320T0000,-0.7894713,6.1805286,2.943862,58,90,73.875,1010.2,1020.3,1017.4749,0,0,44.666668,21.166666,35.958332,37,370.60178,3590.26,2051.881,1538.3789,6.4799995,55.8,20.52,5.315336,30.141266,14.946796,272.32483,7.072878,39.83006,19.036753,278.1812
20080321T0000,2.0605285,6.0005283,3.9717789,64,88,79.5,985.7,1008.9,993.2959,17.300001,2.4499998,84.583336,62,81.916664,80.416664,53.20213,1596.6599,377.8359,1218.8241,41.399998,99.36,72.945,18.175545,59.549267,42.41936,245.0615,27.51116,72.99572,53.33598,245.76529
20080322T0000,-0.34947133,5.9105287,3.0330286,61,85,75.541664,986.6,994.7,989.52924,1.1,0,58.208332,0,51.5,43.125,66.589005,2575.6602,1069.557,1506.103,10.440001,59.039997,33.389996,7.4128532,30.659237,18.650774,257.2929,10.144082,40.513992,24.161016,258.866
20080323T0000,-1.0994713,4.1305285,1.4867783,54,95,75.125,995.1,1000.3,997.646,1.3,0.90999997,88.833336,0,12.625,88.458336,41.11596,4097.56,2589.0347,1508.525,2.16,42.48,18.554998,1.484318,40.39867,18.353151,357.61902,2.5959969,43.6551,19.971565,356.63666
20080324T0000,-3.0294714,3.8405285,0.4121952,58,87,73.833336,996.5,1000,997.94165,0.3,0.21000001,55.833332,0,55.041668,44.666668,120.54823,3014.43,1357.1711,1657.2588,2.8799999,44.639996,23.19,3.396233,31.079071,16.32562,258.93292,2.8116899,38.93995,18.734016,266.59485
20080325T0000,-1.3394713,4.2105284,1.4621954,54,94,76.125,998.9,1009.6,1005.22076,1.2,0.77,84,0.5833333,42.708332,75.875,212.60657,4142.06,2534.2437,1607.8162,26.64,54.719997,43.005,18.089775,40.070118,31.096354,275.44165,25.241108,44.15103,36.642834,276.21216
20080326T0000,1.2705287,10.880529,6.1509457,51,92,72.041664,999.5,1010.3,1004.8,0,0,86.458336,4.5416665,56.583332,85.833336,163.40427,4830.031,3007.8645,1822.1652,5.04,52.56,28.469995,3.8268526,33.1376,18.4242,260.52957,5.315336,41.76621,23.052584,261.91394
